time,satsNumber,pdop,tdop,gdop
00:00,6,2.10382486459519,0.7410410556451834,2.23052032204163
00:01,6,2.0993210931373723,0.7351445384818968,2.2243170962232997
00:02,6,2.094760649233006,0.7292324643228022,2.2180627052897743
00:03,7,1.8377974373322559,0.6027774473819548,1.9341251437632758
00:04,7,1.8335268093373092,0.5999263515779686,1.9291791487252565
00:05,7,1.8291617107896359,0.597042775093141,1.9241342571426212
00:06,7,1.8247057662153965,0.5941304904954363,1.9189950945732157
00:07,7,1.8201626864558442,0.5911934255887994,1.9137664098906049
00:08,7,1.8155362645320299,0.5882356579547359,1.9084530691427435
00:09,7,1.8108303708599114,0.5852614083735764,1.903060048490343
00:10,7,1.8060489478181545,0.5822750330733255,1.897592426222134
00:11,7,1.8011960036760346,0.5792810147578026,1.8920553738507093
00:12,7,1.7962756058918572,0.5762839523718368,1.8864541462976152
00:13,7,1.791291873801944,0.5732885495749577,1.880794071189783
00:14,7,1.786248970721612,0.5702996018997404,1.8750805372919375
00:15,7,1.781151095491266,0.5673219825918988,1.8693189821166796
00:16,8,1.6840532111800306,0.5624086914768873,1.7754826820711367
00:17,8,1.6784473109579645,0.5593686593796933,1.769202835391764
00:18,8,1.672821049595195,0.5563533623792266,1.7629121724576753
00:19,8,1.6671784034227053,0.5533679571136013,1.7566160436473195
00:20,8,1.661523310761238,0.5504175935765194,1.750319753508356
00:21,8,1.655859661326061,0.5475073933750539,1.7440285444359
00:22,8,1.650191285464373,0.5446424270411303,1.737747580046024
00:23,8,1.6445219433036788,0.5418276905396222,1.7314819283616012
00:24,8,1.6388553138944433,0.5390680811384063,1.7252365449358813
00:25,8,1.6331949844333584,0.5363683728280295,1.7190162560454354
00:26,8,1.627544439655011,0.5337331914976773,1.7128257420876882
00:27,7,1.8983553802706676,0.5330239412357987,1.9717676515586555
00:28,7,1.890636427593588,0.5308110130172451,1.9637378727529393
00:29,7,1.8830185198286873,0.5287046141182926,1.9558341736987297
00:30,7,1.8755044267357184,0.5267102041942847,1.9480607007759436
00:31,7,1.868096832470693,0.5248329597702255,1.940421451939813
00:32,6,2.0965661037743013,0.5278990793187269,2.1620052880233467
00:33,6,2.0924449992396554,0.5270896040935555,2.1578112812724246
00:34,6,2.0883756032072003,0.5264866899010926,2.153717923664575
00:35,6,2.0843582507981533,0.526095130528918,2.149726820792953
00:36,6,2.080393249344614,0.5259189027355967,2.1458394078246523
00:37,6,2.076480868190419,0.5259611340366421,2.1420569344622815
00:38,7,1.9660607579966225,0.5123362501423755,2.0317193057467864
00:39,7,1.963535068084059,0.5137853421520635,2.0296416780816715
00:40,7,1.9610585141287729,0.515405216057333,2.0276570303125863
00:41,7,1.9586305217981126,0.5171962204982782,2.025765398908978
00:42,7,1.9562504826210287,0.5191580100403511,2.023966647488062
00:43,7,1.9539177519081177,0.5212895544013095,2.022260463132677
00:44,7,1.9516316476523914,0.5235891540893245,2.020646354609921
00:45,7,1.9493914503682022,0.5260544620865434,2.019123652441773
00:46,7,1.9471964038154541,0.5286825111055263,2.0176915107569546
00:47,6,2.2378209292104416,0.54371149818435,2.302925249431721
00:48,7,1.668504370242912,0.544209838230403,1.7550131570864242
00:49,7,1.6715863382874572,0.5473047192773984,1.75890401730526
